Batch Directory Path Name                                     	Isotope	Src	Park	Mode	AR	CntLim								
========================================================	=======	===	====	====	==	======								
C:\Users\ams254\Documents\Results\USAMS061821R.txt	14C	SNICS	0	nrm	no	100								
														
Run Completion Time       	Pos	Meas	Sample Name	Num	Cycles	le12C      	le13C      	he12C      	he13C      	CntTotH	CntTotS	CntTotGT	13/12he    	14/12he    
========================	===	====	===========	===	======	===========	===========	===========	===========	=======	=======	========	===========	===========
Fri Jun 25 15:58:45 2021	30	6	LiveGas_23	S	  900.639915	-4.649567E-6	-5.155263E-8	 6.612862E-6	 7.039761E-8	9006	9006	1196	 1.064556E-2	9.651044E-13
Fri Jun 25 16:00:18 2021	30	7	LiveGas_23	S	  900.654313	-4.607683E-6	-4.409045E-8	 6.537971E-6	 6.957602E-8	9007	9007	1136	 1.064184E-2	9.271735E-13
Fri Jun 25 16:01:51 2021	30	8	LiveGas_23	S	  900.673483	-4.554994E-6	-4.270870E-8	 6.471970E-6	 6.886787E-8	9007	9007	1137	 1.064095E-2	9.374333E-13
Fri Jun 25 16:03:24 2021	30	9	LiveGas_23	S	  900.798458	-4.510721E-6	-3.875268E-8	 6.408756E-6	 6.821941E-8	9008	9008	1156	 1.064472E-2	9.623660E-13
Fri Jun 25 16:04:57 2021	30	10	LiveGas_23	S	  900.845728	-4.320385E-6	-4.764302E-8	 6.116940E-6	 6.505642E-8	9008	9008	1050	 1.063545E-2	9.157742E-13
Fri Jun 25 16:19:28 2021	31	1	TIRI-I_15mg	U	  900.690381	-3.325318E-6	-1.711596E-8	 4.747651E-6	 5.051743E-8	9007	9007	236	 1.064051E-2	2.652415E-13
Fri Jun 25 16:21:01 2021	31	2	TIRI-I_15mg	U	  900.450413	-3.784694E-6	-1.967952E-8	 5.396010E-6	 5.744248E-8	9005	9005	272	 1.064536E-2	2.690420E-13
Fri Jun 25 16:22:34 2021	31	3	TIRI-I_15mg	U	  900.842914	-3.904278E-6	-2.058640E-8	 5.547862E-6	 5.899264E-8	9008	9008	265	 1.063340E-2	2.548326E-13
Fri Jun 25 16:24:07 2021	31	4	TIRI-I_15mg	U	  900.448653	-3.831331E-6	-2.447816E-8	 5.446830E-6	 5.794854E-8	9004	9004	267	 1.063895E-2	2.616328E-13
Fri Jun 25 16:25:40 2021	31	5	TIRI-I_15mg	U	  900.660303	-3.729049E-6	-2.501729E-8	 5.305557E-6	 5.646759E-8	9007	9007	243	 1.064310E-2	2.443982E-13
